,T_source,T_shock,T_start,T_end,cat,T_source*,v_max_omni_body,v_average_omni_body,dst_min_omni_body,bx_average_omni_body,by_average_omni_body,bz_average_omni_body,temperature_omni_body
877,2011-10-27 12:00:00,2011-11-01 09:07:00,2011-11-02 01:00:00,2011-11-03 04:00:00,1,,397.0,372.53333333333336,-57.0,-1.5,3.6999999999999997,-0.8299999999999998,49186.23333333333
878,,2011-11-07 15:00:00,2011-11-07 17:00:00,2011-11-07 23:00:00,13,,365.0,348.3333333333333,2.0,1.9000000000000001,-7.8999999999999995,0.8444444444444444,34004.0
879,2011-11-09 13:30:00,2011-11-12 05:59:00,2011-11-13 10:00:00,2011-11-15 02:00:00,1,,401.0,369.6511627906977,-2.0,2.1279069767441867,-1.2116279069767442,3.3511627906976744,40202.16279069767
880,,,2011-11-26 04:00:00,2011-11-26 15:00:00,3,,436.0,400.42857142857144,-8.0,0.9285714285714285,-3.185714285714286,0.06428571428571427,47493.92857142857
881,2011-11-26 07:00:00,2011-11-28 21:50:00,2011-11-29 00:00:00,2011-11-29 08:00:00,13,,520.0,456.72727272727275,-21.0,1.9727272727272729,1.5090909090909088,3.872727272727273,164883.0909090909
882,,2011-12-02 17:17:00,2011-12-02 18:00:00,2011-12-03 07:00:00,1,,412.0,394.3125,-29.0,-0.22500000000000014,1.8250000000000002,-0.61875,41093.8125
883,,,2011-12-04 08:00:00,2011-12-04 20:00:00,3,,461.0,449.1333333333333,-23.0,-0.78,1.7200000000000002,0.36666666666666664,55918.26666666667
884,,2011-12-25 02:00:00,2011-12-25 02:00:00,2011-12-25 17:00:00,1,,377.0,359.1666666666667,-8.0,2.722222222222223,-1.0999999999999999,2.4671622769447922e-17,36862.72222222222
885,,,2011-12-27 22:00:00,2011-12-28 04:00:00,3,,252.0,248.0,3.0,-3.5,1.1555555555555557,4.7333333333333325,7538.777777777777
886,,2011-12-29 22:00:00,2011-12-29 22:00:00,2011-12-30 09:00:00,1,,431.0,403.7142857142857,-16.0,3.892857142857142,-5.25,1.514285714285714,37708.57142857143
887,,2011-12-28 05:00:00,2011-12-29 23:00:00,2011-12-30 05:00:00,3,,431.0,412.3333333333333,-16.0,4.9111111111111105,-5.5888888888888895,1.2111111111111112,33006.444444444445
888,,2011-12-30 10:00:00,2011-12-30 23:00:00,2011-12-31 05:00:00,3,,381.0,372.1111111111111,-23.0,-2.8555555555555556,0.5333333333333332,-1.2222222222222223,24827.666666666668
889,2012-01-18 12:24:00,2012-01-21 05:01:00,2012-01-21 06:00:00,2012-01-22 08:00:00,1,,448.0,334.41379310344826,-9.0,-0.6620689655172413,-5.210344827586205,4.3999999999999995,40869.44827586207
890,2012-01-19 14:36:00,2012-01-22 06:11:00,2012-01-22 23:00:00,2012-01-23 07:00:00,13,,459.0,444.72727272727275,-65.0,6.290909090909091,-2.1272727272727274,-4.8909090909090915,59378.90909090909
891,,,2012-01-26 15:00:00,2012-01-27 07:00:00,3,,524.0,469.0,-31.0,-1.7052631578947368,4.447368421052633,-1.8631578947368423,95115.8947368421
892,,,2012-01-28 09:00:00,2012-01-28 18:00:00,3,,489.0,453.8333333333333,-10.0,-1.9750000000000003,2.2083333333333335,-0.09166666666666667,37604.833333333336
893,,2012-02-14 07:00:00,2012-02-14 21:00:00,2012-02-16 06:00:00,13,,404.0,379.22222222222223,-62.0,1.1083333333333334,-3.5777777777777766,-2.9472222222222224,29140.86111111111
894,,2012-02-16 07:00:00,2012-02-16 14:00:00,2012-02-18 00:00:00,1,,378.0,341.64864864864865,-10.0,2.8432432432432435,1.7594594594594597,1.1783783783783779,16458.162162162163
